"   ";"DT_MVTO_ESTOQUE";"QUANTIDADE"
"592";"28/03/2024";"48"
"593";"12/03/2024";"24"
"594";"01/03/2024";"36"
"595";"16/02/2024";"48"
"596";"31/01/2024";"24"
"597";"24/01/2024";"24"
"598";"22/01/2024";"36"
"599";"08/12/2023";"24"
"600";"01/12/2023";"24"
"601";"24/11/2023";"60"
"602";"23/11/2023";"36"
"603";"08/11/2023";"24"
"604";"03/11/2023";"36"
"605";"01/11/2023";"24"
"606";"18/10/2023";"36"
"607";"03/10/2023";"72"
"608";"19/09/2023";"60"
"609";"14/09/2023";"36"
"610";"12/09/2023";"24"
"611";"08/09/2023";"48"
"612";"30/08/2023";"12"
"613";"18/08/2023";"60"
"614";"19/06/2023";"60"
"615";"25/05/2023";"36"
"616";"16/05/2023";"12"
"617";"08/05/2023";"60"
"618";"19/04/2023";"24"
"619";"18/04/2023";"60"
"620";"16/04/2023";"24"
"621";"03/04/2023";"48"
"622";"30/03/2023";"36"
"623";"22/03/2023";"36"
"624";"13/02/2023";"36"
"625";"31/01/2023";"12"
"626";"23/01/2023";"48"
